id	name	textpath	key	link	hassubcats	hasproducts	parentkey
	Wireways	Home:Electrical:Wireways	N-8iz	http://www.grainger.com/Grainger/wireways/electrical/ecatalog/N-8iz?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi5
	Appliances	"Home:Electronics, Appliances, and Batteries:Appliances"	N-cm3	http://www.grainger.com/Grainger/appliances/electronics-appliances-and-batteries/ecatalog/N-cm3?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-cp6
	Batteries	"Home:Electronics, Appliances, and Batteries:Batteries"	N-cr7	http://www.grainger.com/Grainger/batteries/electronics-appliances-and-batteries/ecatalog/N-cr7?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-cp6
	Communications	"Home:Electronics, Appliances, and Batteries:Communications"	N-dal	http://www.grainger.com/Grainger/communications/electronics-appliances-and-batteries/ecatalog/N-dal?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-cp6
	Electronics	"Home:Electronics, Appliances, and Batteries:Electronics"	N-cm5	http://www.grainger.com/Grainger/electronics/electronics-appliances-and-batteries/ecatalog/N-cm5?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-cp6
	Intercoms and Speakers	"Home:Electronics, Appliances, and Batteries:Intercoms and Speakers"	N-das	http://www.grainger.com/Grainger/intercoms-and-speakers/electronics-appliances-and-batteries/ecatalog/N-das?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-cp6
	Anchors	Home:Fasteners:Anchors	N-8j2	http://www.grainger.com/Grainger/anchors/fasteners/ecatalog/N-8j2?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi6
	Bolts	Home:Fasteners:Bolts	N-8jp	http://www.grainger.com/Grainger/bolts/fasteners/ecatalog/N-8jp?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi6
	Hardware	Home:Fasteners:Hardware	N-8ka	http://www.grainger.com/Grainger/hardware/fasteners/ecatalog/N-8ka?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi6
	Hooks	Home:Fasteners:Hooks	N-8ki	http://www.grainger.com/Grainger/hooks/fasteners/ecatalog/N-8ki?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi6
	Key Stock	Home:Fasteners:Key Stock	N-8kl	http://www.grainger.com/Grainger/key-stock/fasteners/ecatalog/N-8kl?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi6
	Lanyards	Home:Fasteners:Lanyards	N-bnu	http://www.grainger.com/Grainger/lanyards/fasteners/ecatalog/N-bnu?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi6
	Manuals	Home:Fasteners:Manuals	N-8kr	http://www.grainger.com/Grainger/manuals/fasteners/ecatalog/N-8kr?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi6
	Measuring Equipment	Home:Fasteners:Measuring Equipment	N-8kt	http://www.grainger.com/Grainger/measuring-equipment/fasteners/ecatalog/N-8kt?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi6
	Nails	Home:Fasteners:Nails	N-8kv	http://www.grainger.com/Grainger/nails/fasteners/ecatalog/N-8kv?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi6
	Nuts	Home:Fasteners:Nuts	N-8lb	http://www.grainger.com/Grainger/nuts/fasteners/ecatalog/N-8lb?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi6
	Pins	Home:Fasteners:Pins	N-8lx	http://www.grainger.com/Grainger/pins/fasteners/ecatalog/N-8lx?Ndr=basedimid10071&sst=subset	TRUE	FALSE	N-bi6
